Category,English
Greetings and farewell,Hello/peace
Greetings and farewell,How are you? (male)
Greetings and farewell,How are you? (female)
Greetings and farewell,How are you? (plural)
Greetings and farewell,I'm fine
Greetings and farewell,Thank you
Greetings and farewell,Welcome (male)
Greetings and farewell,Welcome (female)
Greetings and farewell,Welcome (plural)
Greetings and farewell,Goodbye
Greetings and farewell,Goodbye (male)
Greetings and farewell,Goodbye (female)
Greetings and farewell,See you later
Greetings and farewell,Good morning (male)
Greetings and farewell,Good morning (female)
Greetings and farewell,Good afternoon (male)
Greetings and farewell,Good afternoon (female)
Greetings and farewell,Good evening (male)
Greetings and farewell,Good evening (female)
Greetings and farewell,Good night
Greetings and farewell,Pleased to meet you
Greetings and farewell,Long time no see
Greetings and farewell,Reply to 'How are you?'
Greetings and farewell,Excuse me
Greetings and farewell,Sorry
Greetings and farewell,Please
Greetings and farewell,Reply to thank you
Greetings and farewell,I understand
Greetings and farewell,I don't understand
Greetings and farewell,Do you speak English?
Wishes and Introduction,My name is ...
Wishes and Introduction,Happy birthday
Wishes and Introduction,Happy holiday
Wishes and Introduction,Merry Christmas
Wishes and Introduction,Happy New Year
Wishes and Introduction,What's your name?
Wishes and Introduction,Where are you from?
Wishes and Introduction,I'm from ...
Wishes and Introduction,Good luck!
Wishes and Introduction,Cheers! Good Health!
Wishes and Introduction,Have a nice day
Wishes and Introduction,Get well soon
Wishes and Introduction,Bon voyage / Have a good journey
Daily routine,I wake up
Daily routine,I wash
Daily routine,I brush teeth
Daily routine,I wash face
Daily routine,I eat breakfast
Daily routine,I go to work
Daily routine,I work
Daily routine,I return home
Daily routine,I eat dinner
Daily routine,I sleep
Daily routine,I eat
Daily routine,I drink
Daily routine,I read
Daily routine,I write
Daily routine,I study
Daily routine,I exercise
Daily routine,I rest
Daily routine,I shower
Daily routine,I get dressed
Daily routine,I go to bed
Emergency,Help!
Emergency,Police
Emergency,Ambulance
Emergency,Doctor
Emergency,Hospital
Emergency,Fire
Emergency,Accident
Emergency,I'm sick
Emergency,I need help
Emergency,Stop!
Emergency,Call the police!
Emergency,Fire!
Emergency,Go away!
Emergency,Leave me alone!
Emergency,Call a doctor!
Emergency,Where's the toilet / bathroom?
Hotel; Restaurant; Shopping,Hotel
Hotel; Restaurant; Shopping,Room
Hotel; Restaurant; Shopping,Restaurant
Hotel; Restaurant; Shopping,Bill
Hotel; Restaurant; Shopping,Where is the market?
Hotel; Restaurant; Shopping,Menu please
Hotel; Restaurant; Shopping,Water please
Hotel; Restaurant; Shopping,Beer please
Hotel; Restaurant; Shopping,Coffee please
Hotel; Restaurant; Shopping,Tea please
Hotel; Restaurant; Shopping,Wine please
Hotel; Restaurant; Shopping,How much is this?
Hotel; Restaurant; Shopping,Change please
Hotel; Restaurant; Shopping,Receipt please
Hotel; Restaurant; Shopping,This gentleman will pay for everything
Hotel; Restaurant; Shopping,This lady will pay for everything
Hotel; Restaurant; Shopping,Bon appetit / Have a nice meal
Hotel; Restaurant; Shopping,Where is the hotel?
Hotel; Restaurant; Shopping,I would like a room
Hotel; Restaurant; Shopping,Can I see the menu?
Hotel; Restaurant; Shopping,The bill please
Romance and love,My love
Romance and love,Moon of my eyes
Romance and love,My darling
Romance and love,More than anything
Romance and love,My eye
Romance and love,My slim one
Romance and love,My love (alternative)
Romance and love,Flower of my eye
Romance and love,I miss you
Romance and love,I love you
Romance and love,Would you like to dance with me?
Romance and love,You are beautiful
Romance and love,You are handsome
Romance and love,Let's go together
Romance and love,I like you
Family,The grandfather
Family,The grandmother
Family,The father
Family,The mother
Family,The son
Family,The daughter
Family,The brother
Family,The sister
Family,The uncle
Family,The aunt
Family,Younger sister
Family,Elder sister
Family,Father-in-law
Family,Mother-in-law
Family,Brother-in-law
Family,Sister-in-law
Family,Cousin
Family,Nephew
Family,Niece
Family,Husband
Family,Wife
Colors,White
Colors,Yellow
Colors,Red
Colors,Blue
Colors,Brown
Colors,Green
Colors,Grey
Colors,Orange
Colors,Pink
Colors,Violet
Colors,Black
Colors,Purple
Colors,Golden
Colors,Silver
Food,Bread
Food,Meat
Food,Fruit
Food,Butter
Food,Cheese
Food,Chicken
Food,Coffee
Food,Tea
Food,Wine
Food,Beer
Food,Water
Food,Vegetables
Food,Rice
Food,Soup
Food,Salad
Food,Fish
Food,Egg
Food,Milk
Food,Honey
Food,Salt
Food,Sugar
Food,Apple
Food,Banana
Food,Orange (fruit)
Food,Potato
Animals,Camel
Animals,Fish
Animals,Crab
Animals,Snake
Animals,Sheep
Animals,Cow
Animals,Ox
Animals,Donkey
Animals,Horse
Animals,Fox
Animals,Lion
Animals,Monkey
Animals,Tiger
Animals,Bear
Animals,Turkey
Animals,Bird
Animals,Cat
Animals,Dog
Animals,Hen
Animals,Mosquito
Animals,Rabbit
Animals,Ant
Animals,Bee
Animals,Elephant
Animals,Goat
Body parts,Ankle
Body parts,Arm
Body parts,Armpit
Body parts,Beard
Body parts,Belly
Body parts,Blood
Body parts,Body
Body parts,Bone
Body parts,Brain
Body parts,Breast
Body parts,Hand
Body parts,Eye
Body parts,Face
Body parts,Stomach
Body parts,Leg
Body parts,Finger
Body parts,Nose
Body parts,Ear
Body parts,Hair
Body parts,Forehead
Body parts,Fist
Body parts,Foot
Body parts,Head
Body parts,Mouth
Body parts,Tooth
